1;Москва и Московская область;Москва и Московская область
2;Санкт-Петербург;Санкт-Петербурге
3;Центральный федеральный округ;Центральный федеральный округ
4;Белгород;Белгороде
5;Иваново;Иванове
6;Калуга;Калуге
7;Кострома;Костроме
8;Курск;Курске
9;Липецк;Липецке
10;Орёл;Орёл
11;Рязань;Рязани
12;Смоленск;Смоленске
13;Тамбов;Тамбове
14;Тверь;Твери
15;Тула;Туле
16;Ярославль;Ярославле
17;Северо-Западный федеральный округ;Северо-Западный федеральный округ
18;Петрозаводск;Петрозаводске
19;Сыктывкар;Сыктывкаре
20;Архангельск;Архангельске
21;Вологда;Вологде
22;Калининград;Калининграде
23;Мурманск;Мурманске
24;Великий Новгород;Великий Новгород
25;Псков;Пскове
26;Южный федеральный округ;Южный федеральный округ
28;Махачкала;Махачкале
30;Нальчик;Нальчике
33;Владикавказ;Владикавказе
35;Краснодар;Краснодаре
36;Ставрополь;Ставрополе
37;Астрахань;Астрахани
38;Волгоград;Волгограде
39;Ростов-на-Дону;Ростове-на-Дону
40;Приволжский федеральный округ;Приволжский федеральный округ
41;Йошкар-Ола;Йошкаре-Оле
42;Саранск;Саранске
43;Казань;Казани
44;Ижевск;Ижевске
45;Чебоксары;Чебоксарах
46;Киров;Кирове
47;Нижний Новгород;Нижнем Новгороде
48;Оренбург;Оренбурге
49;Пенза;Пензе
50;Пермь;Перми
51;Самара;Самаре
52;Уральский федеральный округ;Уральский федеральный округ
53;Курган;Кургане
54;Екатеринбург;Екатеринбурге
55;Тюмень;Тюмени
56;Челябинск;Челябинске
57;Ханты-Мансийск;Ханты-Мансийске
58;Салехард;Салехарде
59;Сибирский федеральный округ;Сибирский федеральный округ
62;Красноярск;Красноярске
63;Иркутск;Иркутске
64;Кемерово;Кемерове
65;Новосибирск;Новосибирске
66;Омск;Омске
67;Томск;Томске
68;Чита;Чите
73;Дальневосточный федеральный округ;Дальневосточный федеральный округ
74;Якутск;Якутске
75;Владивосток;Владивостоке
76;Хабаровск;Хабаровске
77;Благовещенск;Благовещенске
78;Петропавловск-Камчатский;Петропавловске-Камчатском
79;Магадан;Магадане
80;Южно-Сахалинск;Южно-Сахалинске
84;США;США
86;Атланта;Атланта
87;Вашингтон;Вашингтон
89;Детройт;Детройт
90;Сан-Франциско;Сан-Франциско
91;Сиэтл;Сиэтл
93;Аргентина;Аргентина
94;Бразилия;Бразилия
95;Канада;Канада
96;Германия;Германия
97;Хайдельберг;Хайдельберг
98;Кельн;Кельн
99;Мюнхен;Мюнхен
100;Франкфурт-на-Майне;Франкфурт-на-Майне
101;Штутгарт;Штутгарт
102;Великобритания;Великобритания
111;Европа;Европа
113;Австрия;Австрия
114;Бельгия;Бельгия
115;Болгария;Болгария
116;Венгрия;Венгрия
117;Литва;Литва
118;Нидерланды;Нидерланды
119;Норвегия;Норвегия
120;Польша;Польша
121;Словакия;Словакия
122;Словения;Словения
123;Финляндия;Финляндия
124;Франция;Франция
125;Чехия;Чехия
126;Швейцария;Швейцария
127;Швеция;Швеция
129;Беэр-Шева;Беэр-Шева
130;Иерусалим;Иерусалим
131;Тель-Авив;Тель-Авив
132;Хайфа;Хайфа
134;Китай;Китай
135;Южная Корея;Южная Корея
137;Япония;Япония
138;Австралия и Океания;Австралия и Океания
139;Новая Зеландия;Новая Зеландия
141;Днепропетровск;Днепропетровск
142;Донецк;Донецке
143;Киев;Киев
144;Львов;Львов
145;Одесса;Одесса
146;Симферополь;Симферополь
147;Харьков;Харьков
148;Николаев;Николаев
149;Беларусь;Беларусь
153;Брест;Брест
154;Витебск;Витебск
155;Гомель;Гомель
157;Минск;Минск
158;Могилёв;Могилёв
159;Казахстан;Казахстан
162;Алматы;Алматы
163;Астана;Астана
164;Караганда;Караганда
165;Семей;Семей
166;СНГ;СНГ
167;Азербайджан;Азербайджан
168;Армения;Армения
169;Грузия;Грузия
170;Туркмения;Туркмения
171;Узбекистан;Узбекистан
172;Уфа;Уфе
177;Берлин;Берлин
178;Гамбург;Гамбург
179;Эстония;Эстония
180;Сербия;Сербия
181;Израиль;Израиль
183;Азия;Азия
187;Украина;Украина
190;Павлодар;Павлодар
191;Брянск;Брянске
192;Владимир;Владимире
193;Воронеж;Воронеже
194;Саратов;Саратове
195;Ульяновск;Ульяновске
197;Барнаул;Барнауле
198;Улан-Удэ;Улане-Удэ
200;Лос-Анджелес;Лос-Анджелес
202;Нью-Йорк;Нью-Йорк
203;Дания;Дания
204;Испания;Испания
205;Италия;Италия
206;Латвия;Латвия
207;Киргизия;Киргизия
208;Молдова;Молдова
209;Таджикистан;Таджикистан
210;Объединённые Арабские Эмираты;Объединённые Арабские Эмираты
211;Австралия;Австралия
213;Москва;Москве
214;Долгопрудный;Долгопрудном
215;Дубна;Дубне
216;Зеленоград;Зеленограде
217;Пущино;Пущине
219;Черноголовка;Черноголовке
221;Шымкент;Шымкент
222;Луганск;Луганск
223;Бостон;Бостон
225;Россия;Россия
235;Магнитогорск;Магнитогорске
236;Набережные Челны;Набережных Челнах
237;Новокузнецк;Новокузнецке
238;Новочеркасск;Новочеркасске
239;Сочи;Сочи
240;Тольятти;Тольятти
241;Африка;Африка
245;Арктика и Антарктика;Арктика и Антарктика
246;Греция;Греция
318;Универсальное;Универсальное
349;Другие города региона;Другие города региона
350;Универсальное;Универсальное
381;Прочее;Прочее
382;Общероссийские;Общероссийские
